iter	Passed	Remaining
0	260	260300
1	262	130828
2	263	87649
3	265	66046
4	266	53090
5	268	44429
6	269	38249
7	271	33606
8	274	30206
9	275	27309
10	277	24931
11	278	22954
12	280	21280
13	281	19848
14	283	18605
15	284	17526
16	288	16664
17	289	15812
18	291	15045
19	292	14353
20	294	13729
21	295	13157
22	297	12643
23	299	12163
24	302	11791
25	303	11378
26	305	10996
27	306	10641
28	308	10315
29	309	10009
30	311	9722
31	313	9468
32	344	10098
33	346	9836
34	349	9633
35	351	9421
36	354	9215
37	355	9007
38	357	8804
39	358	8612
40	360	8427
41	363	8302
42	365	8137
43	367	7975
44	368	7821
45	370	7686
46	372	7546
47	373	7412
48	375	7283
49	380	7231
50	382	7110
51	384	7003
52	385	6891
53	387	6782
54	388	6678
55	390	6577
56	392	6494
57	394	6401
58	395	6311
59	397	6224
60	398	6139
61	400	6056
62	401	5977
63	403	5899
64	404	5824
65	407	5760
66	408	5690
67	410	5623
68	412	5560
69	413	5494
70	414	5430
71	416	5367
72	417	5307
73	419	5248
74	422	5211
75	424	5157
76	425	5103
77	427	5057
78	429	5006
79	430	4954
80	432	4904
81	433	4858
82	434	4801
83	437	4774
84	439	4729
85	441	4693
86	443	4651
87	444	4609
88	446	4567
89	447	4526
90	449	4485
91	450	4446
92	452	4411
93	454	4383
94	456	4345
95	457	4309
96	459	4273
97	460	4239
98	462	4205
99	463	4172
100	467	4158
101	468	4127
102	470	4097
103	472	4066
104	473	4036
105	475	4008
106	476	3979
107	478	3950
108	481	3934
109	482	3906
110	484	3879
111	485	3852
112	487	3825
113	488	3799
114	490	3774
115	491	3748
116	492	3720
117	496	3711
118	498	3688
119	499	3665
120	501	3641
121	502	3615
122	503	3592
123	505	3570
124	506	3547
125	508	3526
126	510	3511
127	512	3490
128	513	3470
129	515	3450
130	517	3429
131	518	3409
132	520	3390
133	521	3370
134	523	3351
135	526	3346
136	528	3327
137	529	3309
138	531	3291
139	532	3272
140	534	3254
141	535	3232
142	536	3215
143	538	3201
144	540	3185
145	542	3173
146	544	3157
147	545	3141
148	547	3124
149	548	3109
150	550	3093
151	552	3082
152	553	3066
153	556	3056
154	558	3046
155	560	3031
156	561	3016
157	563	3001
158	564	2987
159	566	2973
160	567	2956
161	568	2941
162	570	2929
163	572	2919
164	574	2906
165	575	2893
166	577	2879
167	578	2866
168	582	2862
169	583	2849
170	587	2846
171	588	2834
172	590	2822
173	591	2810
174	593	2797
175	595	2786
176	596	2773
177	597	2761
178	599	2749
179	601	2740
180	603	2729
181	604	2717
182	606	2705
183	607	2693
184	609	2684
185	611	2674
186	612	2663
187	614	2654
188	617	2651
189	619	2640
190	620	2629
191	622	2619
192	624	2609
193	625	2598
194	627	2588
195	628	2578
196	630	2568
197	632	2562
198	634	2552
199	635	2542
200	639	2542
201	642	2538
202	650	2553
203	652	2545
204	653	2535
205	655	2524
206	656	2514
207	657	2504
208	659	2494
209	660	2485
210	669	2503
211	670	2493
212	674	2490
213	676	2484
214	680	2483
215	681	2474
216	683	2465
217	684	2456
218	686	2446
219	687	2437
220	688	2428
221	690	2419
222	691	2410
223	694	2407
224	699	2410
225	701	2402
226	703	2394
227	716	2424
228	719	2420
229	720	2413
230	723	2407
231	727	2407
232	729	2400
233	731	2395
234	734	2392
235	736	2384
236	738	2376
237	753	2412
238	756	2409
239	758	2401
240	760	2393
241	761	2385
242	770	2400
243	776	2407
244	782	2411
245	784	2404
246	787	2400
247	788	2391
248	791	2386
249	792	2377
250	795	2375
251	797	2366
252	798	2358
253	800	2350
254	801	2341
255	803	2333
256	806	2330
257	807	2323
258	812	2323
259	814	2317
260	832	2355
261	835	2353
262	836	2345
263	838	2337
264	844	2342
265	849	2343
266	850	2335
267	852	2327
268	853	2319
269	855	2312
270	858	2308
271	860	2301
272	866	2307
273	868	2300
274	869	2293
275	871	2285
276	874	2282
277	877	2278
278	890	2301
279	895	2303
280	905	2316
281	907	2309
282	908	2302
283	910	2294
284	912	2288
285	913	2280
286	917	2279
287	919	2272
288	920	2265
289	922	2257
290	923	2250
291	924	2242
292	926	2235
293	927	2228
294	929	2220
295	933	2219
296	934	2211
297	936	2205
298	937	2198
299	939	2192
300	941	2186
301	942	2179
302	944	2172
303	952	2181
304	954	2173
305	969	2199
306	971	2192
307	972	2185
308	974	2178
309	976	2173
310	979	2169
311	980	2163
312	982	2156
313	983	2149
314	985	2142
315	986	2134
316	996	2146
317	999	2143
318	1001	2137
319	1002	2131
320	1005	2127
321	1007	2121
322	1010	2118
323	1012	2112
324	1014	2106
325	1015	2099
326	1016	2093
327	1018	2086
328	1020	2080
329	1021	2074
330	1023	2067
331	1030	2072
332	1033	2069
333	1062	2118
334	1064	2112
335	1066	2106
336	1067	2100
337	1068	2093
338	1070	2087
339	1073	2083
340	1075	2078
341	1076	2072
342	1078	2066
343	1082	2065
344	1084	2059
345	1086	2053
346	1089	2050
347	1091	2044
348	1092	2038
349	1094	2033
350	1096	2027
351	1108	2040
352	1123	2059
353	1125	2053
354	1127	2047
355	1131	2046
356	1132	2040
357	1136	2037
358	1137	2031
359	1139	2026
360	1141	2020
361	1144	2017
362	1146	2012
363	1148	2006
364	1151	2002
365	1153	1997
366	1155	1992
367	1156	1986
368	1158	1980
369	1159	1974
370	1161	1969
371	1163	1963
372	1166	1960
373	1170	1959
374	1172	1953
375	1173	1947
376	1175	1942
377	1176	1936
378	1178	1930
379	1181	1927
380	1183	1922
381	1184	1916
382	1186	1910
383	1187	1905
384	1189	1899
385	1190	1893
386	1192	1888
387	1193	1882
388	1197	1880
389	1198	1875
390	1200	1869
391	1202	1864
392	1203	1858
393	1204	1853
394	1207	1848
395	1208	1843
396	1210	1838
397	1211	1832
398	1213	1827
399	1214	1822
400	1216	1816
401	1217	1811
402	1219	1805
403	1222	1802
404	1223	1797
405	1225	1792
406	1226	1786
407	1227	1781
408	1228	1775
409	1230	1770
410	1231	1764
411	1245	1777
412	1247	1772
413	1248	1767
414	1250	1762
415	1252	1757
416	1253	1753
417	1255	1748
418	1256	1742
419	1258	1737
420	1259	1732
421	1261	1727
422	1263	1723
423	1264	1718
424	1268	1716
425	1270	1711
426	1272	1707
427	1273	1702
428	1284	1709
429	1286	1705
430	1288	1700
431	1289	1695
432	1291	1690
433	1294	1688
434	1296	1683
435	1298	1679
436	1300	1675
437	1301	1670
438	1303	1665
439	1304	1660
440	1306	1655
441	1308	1651
442	1309	1646
443	1311	1641
444	1314	1639
445	1317	1636
446	1319	1632
447	1320	1627
448	1322	1623
449	1324	1618
450	1326	1614
451	1335	1619
452	1337	1615
453	1339	1610
454	1340	1606
455	1342	1601
456	1345	1598
457	1347	1594
458	1348	1589
459	1349	1584
460	1351	1580
461	1353	1576
462	1355	1571
463	1356	1567
464	1358	1562
465	1361	1559
466	1363	1556
467	1365	1551
468	1367	1548
469	1372	1547
470	1373	1543
471	1377	1541
472	1379	1537
473	1381	1532
474	1382	1528
475	1383	1523
476	1385	1519
477	1387	1515
478	1388	1510
479	1392	1508
480	1394	1504
481	1396	1501
482	1398	1496
483	1399	1492
484	1401	1488
485	1402	1483
486	1404	1479
487	1414	1484
488	1416	1480
489	1418	1476
490	1420	1472
491	1424	1470
492	1425	1466
493	1428	1462
494	1431	1460
495	1433	1456
496	1434	1451
497	1438	1450
498	1440	1445
499	1441	1441
500	1443	1437
501	1444	1433
502	1446	1429
503	1447	1424
504	1458	1429
505	1461	1427
506	1463	1422
507	1464	1418
508	1466	1414
509	1468	1410
510	1469	1406
511	1471	1402
512	1473	1398
513	1474	1394
514	1476	1390
515	1477	1386
516	1481	1384
517	1483	1380
518	1486	1377
519	1487	1373
520	1489	1369
521	1493	1367
522	1495	1363
523	1499	1362
524	1501	1358
525	1503	1354
526	1517	1361
527	1518	1357
